0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
3.0999386,2.7997203,3.05781,3.073906,3.4285989,3.200196,3.3016107,3.3707957,3.4854796,3.0628848,3.4039972,3.5263417,3.1169162,3.2128038,3.1616013,3.3287487,2.5633852,2.8149364,2.535896,2.628345,2.1817849,2.3976724,2.3007185,2.3059325,1.6683667,1.5496576,1.7566733,1.7433046,1.3403245,1.4474188,1.4339015,1.3758553,1.2136866,1.1257398,1.2851902,1.2263807,1.4110172,1.5110053,1.4344585,1.3256853,1.8343337,1.5991775,1.8655528,1.8630297,2.4814124,2.5304017,2.3873296,2.4572856,2.924617,2.851775,2.8505528,2.9762273,3.3381655,3.0948842,3.1494434,3.3738952,3.656644,3.4868903,3.5696115,3.7093797,3.4609618,3.4537632,3.423449,3.5973532,3.0704894,2.9512005,3.0269547,3.260546,2.683105,2.8441052,2.774588,2.8864696,2.1893165,2.3149855,2.297866,2.3953426,1.825503,1.9925725,1.9035203,1.9659956,1.6688803,1.5546558,1.7285076,1.7745458,1.663276,1.6782503,1.6907362,1.6965302,1.9148629,2.093117,1.9288961,1.9406108,2.312704,2.480272,2.3291013,2.3979206
3.3656595,3.2624617,3.3987575,3.3763304,3.317459,3.133437,3.2675993,3.3293548,3.1025279,2.7665598,3.0439544,3.1133142,2.422826,2.341253,2.432284,2.5356536,2.1878927,2.2191772,2.1550398,2.219761,1.7043244,1.6593095,1.8349876,1.8118737,1.4928155,1.4043552,1.6400496,1.56229,1.2554742,1.2194692,1.3991101,1.2719467,1.594058,1.406231,1.6770192,1.6139042,1.9215846,1.9324855,1.9944361,1.9051119,2.3740337,2.1762586,2.3366947,2.3653078,2.9248533,2.594304,2.8384697,2.932276,3.216656,3.4586608,3.156975,3.2555888,3.4756386,3.2391012,3.3692617,3.5616362,3.4127736,3.4059505,3.320247,3.4783032,2.967899,3.0853202,2.919161,3.0670314,2.5943193,2.587298,2.5760753,2.7310667,2.218847,2.3863723,2.2734299,2.3356283,2.007403,1.9503126,2.139235,2.217289,1.7451878,1.9596759,1.8799314,1.8965732,1.8276149,1.9358711,1.953754,1.9499786,2.0698066,2.0418763,2.1808476,2.1438844,2.4428287,2.4142814,2.526961,2.5430057,2.7416112,2.972298,2.8326159,2.8487985
3.3340566,3.0936356,3.3710873,3.402928,3.1312892,3.3105495,3.2119687,3.2537463,2.6277456,2.4584908,2.70855,2.710661,2.0882995,2.1261754,2.1771848,2.3011894,1.7151868,1.9462326,1.7827035,1.8393632,1.3371836,1.6370203,1.4630239,1.4634223,1.2898579,1.5695186,1.3910317,1.3382125,1.5121471,1.665092,1.6008853,1.52479,2.0777378,1.8868943,2.121744,2.0215685,2.549095,2.4049997,2.5291724,2.4818265,2.9581306,2.6687129,2.9271276,2.9794455,3.397644,3.169053,3.3432763,3.396468,3.492298,3.2149615,3.3638697,3.5101488,3.3991408,3.2177584,3.3201404,3.477566,2.970375,3.2004623,2.900519,3.0445046,2.6023228,2.5905583,2.6084237,2.7804472,2.1572175,2.2534313,2.1662648,2.3279252,1.9218302,2.2653084,2.043017,2.1335084,1.5720336,1.7243298,1.6092912,1.7098651,1.756315,1.7690438,1.841302,1.8521333,1.9992237,2.3062737,2.0410879,2.0648065,2.4173398,2.3519862,2.3573291,2.475966,2.8345425,2.8807135,2.8102336,2.968062,3.0084271,3.1740546,2.9266179,3.0550644
3.0548525,3.0946922,3.1334755,3.1253295,2.6914005,2.5059717,2.7118578,2.6797137,2.2048104,2.1458435,2.137339,2.1769745,1.7332078,1.6301633,1.7225907,1.8269148,1.5362837,1.4627123,1.5320544,1.5358435,1.3687282,1.3179187,1.4435031,1.3937536,1.5499592,1.3183742,1.6079596,1.526931,1.9942561,2.2137935,2.070376,2.088292,2.5004928,2.3755865,2.4797442,2.5302625,3.0256562,3.1011353,2.959327,3.0310473,3.235223,2.9634426,3.1153474,3.228472,3.5514653,3.4085398,3.481367,3.5709898,3.3632233,3.2883224,3.319767,3.4180148,3.12533,2.960291,3.0804105,3.1934412,2.5750794,2.6867595,2.5348616,2.6100423,2.1935122,2.580979,2.1816108,2.2639267,2.0248857,2.1385057,2.0335395,2.1974308,1.648337,1.9288185,1.7359812,1.7934775,1.7305707,1.7727096,1.8390212,1.9004136,2.101363,2.2199852,2.111718,2.1708543,2.5412447,2.4069667,2.5343468,2.563379,2.9199944,2.8269165,2.8952107,2.9717271,3.123053,2.932521,3.0252185,3.1668768,3.4854198,3.2825649,3.4248624,3.6202178
2.5991592,2.5138788,2.6943853,2.6088192,2.3126569,2.0376747,2.3930929,2.2366838,1.8923469,1.9939126,1.9869868,1.8713055,1.4060506,1.7484832,1.5075743,1.4736773,1.3496244,1.281144,1.2560198,1.273703,1.4471105,1.3744642,1.4114246,1.4623666,2.0132616,1.7815185,1.9687045,2.0001802,2.570795,2.798914,2.364641,2.5540957,3.1282012,2.9899375,3.0208225,3.1638153,3.367389,3.3726628,3.2406154,3.390165,3.5348318,3.3996906,3.3997746,3.5716748,3.4099061,3.2740862,3.3733978,3.4197624,2.9691293,3.1780007,2.9700785,2.978783,2.606214,2.5632029,2.572252,2.5662704,2.302401,2.0961363,2.295107,2.2585406,1.9144727,2.0440655,1.994878,1.9583768,1.7894678,1.9442995,1.830488,1.829773,1.7349554,1.8480744,1.7493367,1.8166435,2.0718298,2.045093,2.0434256,2.1850357,2.4683692,2.4811187,2.2951484,2.4582644,2.8628888,2.7755127,2.619286,2.861949,3.2705576,3.2311885,3.0920973,3.3563287,3.4696603,3.6935325,3.3208072,3.566922,3.4337242,3.7646582,3.3974035,3.5366495
2.0453303,2.132721,2.0318825,2.0109138,1.7463813,1.4754443,1.7731566,1.7339071,1.3548642,1.191255,1.3783358,1.220058,1.3408442,1.0654374,1.3931173,1.3449379,1.5824225,1.474713,1.5728282,1.5559411,2.0335233,1.9438978,1.9637002,2.0300555,2.5697622,2.2282605,2.4991882,2.5854213,2.8932748,2.6998699,2.7427394,2.9650154,3.3273613,3.2704535,3.1896546,3.463129,3.4437885,3.5514271,3.356217,3.5261557,3.3884451,3.372781,3.3280728,3.572361,3.025601,3.0889735,3.0240688,3.1668224,2.6077876,2.5323844,2.6445334,2.7014546,2.273766,2.103803,2.307642,2.3091881,1.9506902,1.7461269,2.0143628,2.0255716,1.6522415,1.6469179,1.772454,1.7447523,1.6688842,1.6836581,1.7223588,1.6797256,2.0755498,2.1354904,2.0805287,2.1201396,2.4448235,2.3043482,2.4004672,2.5082202,2.8275042,3.0633283,2.6870666,2.8566554,3.3848534,3.5903914,3.3141866,3.4681094,3.3599112,3.4926705,3.3092804,3.4791641,3.570438,3.8197215,3.616638,3.7476623,3.1320767,3.2872841,3.2190146,3.2960958
1.8273956,1.843301,2.0148013,1.88685,1.4163165,1.352436,1.5409358,1.3796552,1.3498715,1.2187316,1.3628347,1.2602369,1.5381005,1.3281426,1.613494,1.4600891,2.030078,1.8403713,1.946147,1.9481041,2.7058976,2.6227713,2.6749494,2.7097528,3.108676,3.045021,3.0352213,3.0768538,3.4234085,3.4537697,3.311086,3.4339073,3.4927912,3.4872954,3.4074109,3.578772,3.3709476,3.2882388,3.252285,3.407128,3.0577857,2.7465415,3.0215669,3.2139218,2.55186,2.7632906,2.537438,2.611214,2.329082,2.447269,2.4314172,2.4491024,1.9506223,1.9691039,2.0037293,1.9874972,1.7150456,1.9227399,1.7556387,1.7194287,1.6327746,1.5418518,1.6762614,1.7207406,1.9756773,2.182475,1.9944373,2.0695415,2.441998,2.4952855,2.3541298,2.4942865,2.7912683,2.9098017,2.7240043,2.8271606,3.30359,3.605568,3.1794055,3.3315752,3.5608263,3.650243,3.4839938,3.642555,3.5639129,3.5325332,3.5184448,3.7188914,3.2133815,3.3727264,3.271006,3.3811138,2.7762172,2.870113,2.94157,2.9562273
1.3170071,1.2782297,1.3895192,1.2301672,1.4015325,1.0668279,1.4266974,1.3088986,1.63333,1.5346019,1.6049405,1.5697076,2.191414,2.2864842,2.2112477,2.1858082,2.6144655,2.7476435,2.4222589,2.4737258,3.0545528,3.0009508,2.9587455,3.01568,3.3741264,3.181337,3.3446672,3.3746471,3.6078062,3.5575686,3.5089047,3.6186714,3.586403,3.3798192,3.6480577,3.7398376,3.0892308,3.144999,3.147983,3.2238538,2.7171428,2.5421255,2.8645222,2.9242663,2.268639,1.9882326,2.3906775,2.3936758,1.8303502,1.6938103,1.9478412,1.912922,1.6891842,1.5930371,1.6618116,1.6348596,1.710871,1.6284683,1.6951935,1.7073686,2.062425,2.2310853,1.9583763,2.0470097,2.5416577,2.7979455,2.4575365,2.5406246,2.932812,2.8028731,2.8171017,2.934459,3.2480252,3.305448,3.1312847,3.2448251,3.5953305,3.7638004,3.4777274,3.606145,3.5446224,3.6803586,3.4848173,3.6043375,3.2945206,3.3106258,3.3526757,3.5062284,2.6416223,2.6789763,2.7028105,2.7845433,2.2562535,2.2990813,2.4159002,2.4407177
1.3774002,1.5355372,1.4103249,1.2348696,1.5795398,1.3498236,1.5782987,1.4223228,2.0387766,2.1275594,1.9024273,1.8368025,2.5944352,2.204244,2.4611835,2.5403745,3.1214461,3.246312,2.955707,3.0365117,3.447072,3.5904117,3.3026338,3.4419944,3.505111,3.391942,3.3666503,3.495274,3.4842362,3.3219638,3.4575715,3.5928855,3.0296082,3.11314,3.1061926,3.141687,2.5695121,2.7691963,2.5866885,2.625554,2.237164,2.1687658,2.2591648,2.29233,1.9022398,1.6733207,1.9840065,1.9436334,1.689602,1.4825077,1.7622156,1.7412987,1.715455,1.4135463,1.6212804,1.6294049,1.9301785,2.017063,1.8070842,1.8765483,2.454803,2.563693,2.351182,2.4129512,2.8409534,2.7596595,2.715477,2.7927575,3.2159126,2.9954607,3.0633128,3.1987581,3.5620506,3.572127,3.46352,3.5983298,3.4803278,3.3502247,3.4484715,3.5386007,3.1955867,3.2028835,3.2238598,3.3191695,2.5983558,2.5652053,2.6839736,2.735365,2.2280998,2.1715221,2.2724571,2.2844367,1.7813216,1.7957355,1.9422187,1.9424798
1.4098924,1.2920592,1.4933852,1.4069319,1.9593668,1.9651551,1.9780457,1.9706874,2.5330489,2.2613664,2.534634,2.5226269,2.9532864,2.6691165,2.8504252,2.9317312,3.4645138,3.171269,3.3416474,3.4714572,3.5182316,3.3825383,3.4222624,3.517728,3.455783,3.183314,3.3482103,3.4931543,3.0878892,2.9425015,3.0769348,3.1174507,2.5948112,2.3820384,2.584271,2.6890295,2.1584172,2.0647726,2.1553879,2.1574097,1.9056044,1.9583101,2.0352018,2.1289637,1.5805233,1.5031025,1.7556795,1.7132375,1.6242578,1.3670919,1.6410086,1.6843588,1.9328883,1.9644234,1.8228241,1.9443749,2.3796892,2.2099853,2.2719269,2.4259336,2.711444,2.4810052,2.583864,2.7519097,3.180009,3.1648242,3.0275493,3.1888845,3.3733652,3.5097368,3.2638047,3.4018862,3.5132954,3.6211474,3.4581828,3.5422137,3.210735,3.3150644,3.2106054,3.2949302,2.676101,2.8751142,2.6596665,2.796276,2.2612026,2.449683,2.337259,2.451567,1.7804847,1.9946464,1.8904334,1.9010606,1.5264659,1.5967835,1.714725,1.7225057
