0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
2.6412416,2.7115612,2.61221,2.584928,3.2859986,3.1352537,3.2092345,3.331546,3.1577308,3.0775313,3.0744464,3.1278813,2.9908805,2.9794607,2.9727073,3.0313478,2.273164,2.3195963,2.3564024,2.4094832,1.7362038,1.7369102,1.9005809,1.8419832,1.4217452,1.4843343,1.6233348,1.5715284,0.88578105,0.9862606,1.2025716,1.0700899,0.69851375,0.88703436,0.9971575,0.82792485,0.46748012,0.59461266,0.68444806,0.5544414,1.1837769,0.9089292,1.2715995,1.2880275,1.7050216,1.7795861,1.6616498,1.7307557,2.4524944,2.326611,2.378881,2.5029583,3.1114511,2.9254642,3.0141501,3.1781263,3.4602492,3.4138474,3.3234472,3.4390736,3.5544527,3.4427376,3.5463786,3.6655583,2.8831313,3.0113082,2.9566102,3.1356533,2.2917645,2.510282,2.4234028,2.4610007,1.8077735,1.9342484,2.047188,2.0618064,1.5384126,1.583293,1.844835,1.8483841,1.1843945,1.5168335,1.4976392,1.4933783,0.9326469,1.3375574,1.1562074,1.0793371,1.2742019,1.4544213,1.4336764,1.45519,1.825965,1.9002113,1.9544315,2.0492277
3.2892213,3.247226,3.3863957,3.3245957,3.216601,3.2156258,3.2201335,3.2729607,2.9401894,3.0004082,2.909086,2.931188,2.1412017,2.2114534,2.2428322,2.2161539,1.7987406,1.9810855,1.8321525,1.8802414,1.4349731,1.5559413,1.7020578,1.641415,0.8765532,1.217497,1.1867014,1.0329161,0.73578906,1.0589893,1.0816633,0.91356605,0.64523643,0.62981457,0.8809251,0.68291336,1.1505632,1.4048477,1.3188866,1.190178,1.8511381,1.7846149,2.0006545,1.9312233,2.5656886,2.5390377,2.597549,2.6351411,3.0847986,2.8929892,3.1221244,3.2034779,3.4205234,3.166024,3.3726203,3.5338109,3.412653,3.5135875,3.3677864,3.5667105,2.83023,2.974569,2.799141,2.9016273,2.1832137,2.429445,2.2734015,2.4169655,1.857807,2.2820718,2.00018,2.0612957,1.6116537,1.9290042,2.0146344,1.8980657,1.1459901,1.6418653,1.5429499,1.4225287,1.1720673,1.2082736,1.476277,1.393528,1.2088361,1.4279814,1.3914497,1.3115692,1.9726349,1.9589858,2.0844696,2.1326067,2.501203,2.6365378,2.6855884,2.7567143
3.2391016,3.1823883,3.3488476,3.3681953,3.0132635,2.8453975,3.132324,3.1696296,2.1195028,1.8615339,2.2218018,2.148695,1.617378,1.7305752,1.7900487,1.8225639,1.4018066,1.6097542,1.5608191,1.4774064,0.9056877,1.1149797,1.2142328,1.073577,0.60324955,0.5286398,0.88478845,0.72467387,0.6390352,0.9540932,0.8565793,0.71476364,1.188556,1.5365814,1.2755738,1.220792,1.7850331,1.6684939,1.8529601,1.8293295,2.5246737,2.5779197,2.5785637,2.606426,3.0838835,3.0566738,3.0858245,3.205703,3.4572904,3.6526182,3.4611444,3.6585321,3.5347145,3.3254335,3.5930722,3.7617726,2.9183352,2.9816847,3.0270493,3.1380541,2.2854984,2.5577972,2.3734486,2.4273074,1.8223238,2.0125353,1.9814771,2.0421052,1.5280888,1.7394571,1.841273,1.8180497,1.2415923,1.452524,1.6344805,1.5308485,1.113257,1.3961987,1.4384278,1.3366833,1.4424531,1.7234632,1.6609682,1.588714,1.9428947,2.0372674,2.034554,2.023421,2.5164788,2.8537817,2.5948,2.6922398,3.0071611,3.2468603,2.9863539,3.139665
2.8951616,3.3077505,3.1056983,2.951126,2.3351672,2.4775145,2.5018399,2.379088,1.8933597,1.7881731,2.0587552,1.8985362,1.484072,1.484466,1.7358129,1.702542,1.0816612,1.2949895,1.3772478,1.3200508,0.7291143,1.0276176,1.0228666,1.0484445,0.6338893,0.84428644,0.80292165,0.7542169,1.0791583,1.0609524,1.1357722,1.1494125,1.8655362,1.8595953,1.896329,1.9389149,2.5127945,2.405605,2.4915059,2.5522294,3.1244757,2.904519,3.119855,3.2255256,3.3467968,3.3156135,3.3347218,3.3591013,3.437096,3.500787,3.4103096,3.5101376,2.8092859,2.9808981,2.882555,2.8490446,2.2556102,2.3998044,2.3274033,2.376163,1.717137,1.8436997,1.8204665,1.9033536,1.5727452,1.8083893,1.6795367,1.9231933,1.194619,1.4934154,1.3948157,1.5372591,1.0152901,1.383977,1.3085527,1.3420954,1.3899548,1.8268715,1.5871308,1.6113096,1.8450623,2.0413322,1.8796186,1.9740787,2.526658,2.392196,2.4588494,2.6129923,3.1050582,2.95816,3.0685737,3.2426121,3.4124827,3.5413692,3.465683,3.5109923
2.090358,2.1738567,2.2078257,2.069587,1.7479314,1.8032039,1.8248136,1.7358128,1.4807963,1.2554774,1.7727485,1.5947168,0.86495805,0.9448518,1.2024385,1.1133416,0.6529699,0.9311351,0.86936426,0.82590866,0.67137146,0.73004854,0.8621871,0.8511094,1.2955348,1.4539394,1.3916174,1.4026906,1.8989395,1.7680427,1.8310304,1.9199045,2.486413,2.3058412,2.3891733,2.4947593,3.2326033,3.2336733,3.1691794,3.2877347,3.4202504,3.3882043,3.4338455,3.541308,3.4593697,3.6114955,3.4650974,3.5196059,2.9398139,2.919073,2.9918833,3.0482678,2.2400455,2.5227284,2.3856623,2.3626592,1.9124235,1.8988363,2.1334784,2.0937328,1.4841626,1.4591808,1.7762367,1.7274636,1.260542,1.4026566,1.5312082,1.593281,1.0690995,1.3696084,1.2874275,1.3306686,1.3118476,1.738579,1.485968,1.5567261,1.896307,1.9925818,1.9001013,1.9862783,2.5934136,2.9488199,2.5807343,2.7858193,3.2203488,3.1785975,3.150801,3.2971156,3.5774176,3.5791192,3.5985935,3.7327652,3.5910578,3.6378322,3.6588564,3.710438
1.811471,1.767995,2.0143578,1.8325233,1.3667958,1.3792156,1.5428019,1.3719927,0.98500955,1.0368241,1.173108,0.97981876,0.7198141,0.65499943,0.93756145,0.7169185,0.7280144,0.8565833,0.814539,0.72480136,1.26054,1.055704,1.2582525,1.286232,1.9333664,2.0267465,1.8710511,1.8976047,2.460134,2.4290085,2.365024,2.4428396,3.1073856,2.8199587,3.0128624,3.1622303,3.3939862,3.27557,3.2655044,3.4052954,3.4066958,3.510268,3.3258605,3.4775164,2.9311295,3.1732757,2.9244745,2.9193883,2.2315876,2.294097,2.3025339,2.2528987,1.8650624,2.116391,2.0582845,1.9972903,1.4919922,1.5590366,1.7528032,1.592157,1.3244342,1.5939102,1.6136715,1.4684871,1.0920228,1.4046686,1.2990294,1.1816046,1.3227998,1.338419,1.4042195,1.4242145,1.9692364,2.0775084,1.9719118,2.0383987,2.5584648,2.4567852,2.4780982,2.6390855,3.1579642,3.2333214,3.032204,3.2465265,3.5332377,3.656281,3.4498708,3.6845963,3.6224248,3.6111784,3.559002,3.7360659,3.261349,3.2545216,3.35328,3.4569442
1.4353708,1.2983115,1.6737857,1.5055953,0.9399953,1.0878575,1.1456739,0.9562566,0.7270191,0.62752616,0.90724516,0.7255321,0.75776666,0.9036703,0.87654334,0.7497144,1.2445369,1.1528956,1.1604264,1.1828498,1.8696893,1.7366774,1.685079,1.8009902,2.5901873,2.3873906,2.4060197,2.6280086,3.1765132,3.1082814,3.0135252,3.234484,3.443933,3.2858977,3.25517,3.5440278,3.4252326,3.3825626,3.302026,3.4962964,3.003904,3.1868944,3.0076473,3.1521592,2.3060696,2.4376533,2.480296,2.4844077,1.8882358,1.867914,2.1059735,2.0731556,1.5677543,1.7501901,1.7886498,1.7213135,1.2050446,1.507918,1.4199891,1.306372,1.0847476,1.3910793,1.2647481,1.1914076,1.3396637,1.4521753,1.4061193,1.3883151,1.9941255,2.2108817,1.971775,2.0512888,2.5946538,2.6007242,2.4666905,2.5667777,3.16055,2.9811785,3.0134,3.1660147,3.6832936,3.7515879,3.5111802,3.7492633,3.6729956,3.6308844,3.5761893,3.7671876,3.2563198,3.2239196,3.2153254,3.3836226,2.5636058,2.7428095,2.6618476,2.7255914
0.9196734,1.1585293,1.2444882,1.0051327,0.7237783,0.83183056,1.0252315,0.8166132,0.69513166,0.8179633,0.7991578,0.65224105,1.2869257,1.2094394,1.3420091,1.3186649,1.9619347,1.6702288,1.8887205,1.9752734,2.543857,2.3012075,2.4338825,2.5834172,3.0117848,2.9268231,2.8907888,3.0435376,3.5443597,3.4904518,3.3850806,3.6089194,3.434035,3.5105224,3.336467,3.5145805,2.889565,2.921359,2.9453797,3.0168867,2.246384,2.4020958,2.4005191,2.3801575,1.9044015,1.864735,2.1723373,2.0722332,1.5440376,1.4738536,1.8100438,1.7697703,1.21743,1.3036788,1.435567,1.3451742,1.1103117,1.1597145,1.3098294,1.2424664,1.2708112,1.1872633,1.4217775,1.3426337,1.8747988,1.7303438,1.8106005,1.9221154,2.3884482,2.5177615,2.2517939,2.477671,3.1476386,2.9100385,3.0368636,3.1883426,3.639353,3.5140607,3.5525215,3.7442992,3.641618,3.770804,3.4958894,3.7221584,3.2718992,3.3527415,3.3182788,3.4773848,2.5822847,2.8474512,2.7396193,2.7657337,2.1634228,2.3955483,2.3875787,2.3841963
0.77049726,0.64405155,1.0214981,0.8167405,0.6715163,0.78337187,0.8564038,0.7007305,1.1801689,1.4430822,1.1264998,1.1233567,1.9177393,1.8322505,1.7434628,1.8401216,2.4726405,2.2626438,2.301177,2.4381795,3.1473508,3.1034038,2.988743,3.1515157,3.399604,3.4934645,3.2680883,3.4190116,3.4681232,3.1684332,3.415006,3.4985914,3.0980642,3.0736551,3.2294998,3.2715316,2.2693288,2.4148965,2.4607313,2.4190972,1.9119189,2.0866914,2.1539803,2.0855763,1.5685374,1.4307734,1.8468714,1.6824795,1.2695059,1.2953277,1.5588516,1.364138,1.0739965,0.9803462,1.1411798,1.1202016,1.2455106,1.1478364,1.2244815,1.2761377,1.8844212,1.7476454,1.7821773,1.9229484,2.3832936,2.5931365,2.1916037,2.3403819,3.0802054,2.9753556,2.8410695,3.1256588,3.4799829,3.3358166,3.3328164,3.5629015,3.6773732,3.4544992,3.585192,3.8152199,3.418056,3.3454564,3.405442,3.5568643,2.543859,2.6934834,2.6739492,2.7090397,2.2246566,2.2585926,2.3789072,2.372452,1.8606185,2.0413575,2.222893,2.1281762
0.7698467,0.8916902,0.9517053,0.702087,1.2169498,1.2447869,1.2488496,1.1651077,1.9689538,2.1307924,1.8792545,1.900882,2.5431368,2.401628,2.393472,2.4844825,3.1896093,3.281327,3.1190004,3.2054873,3.4155502,3.367678,3.3281362,3.4185472,3.493657,3.2297883,3.4802547,3.5604253,2.9596372,2.7640023,2.9748478,2.9957442,2.2720351,2.1513412,2.42577,2.3799553,1.8195843,2.15425,2.0711503,1.9846226,1.5492218,1.6733087,1.8639258,1.7841856,1.3120086,1.442691,1.6661224,1.4435806,1.0329428,1.1589235,1.2163461,1.036101,1.2879395,1.1794652,1.3126522,1.3756909,1.7739346,1.6233569,1.6749448,1.7916766,2.403361,2.2212305,2.3129947,2.454604,3.1037633,3.1927106,2.9264154,3.1177008,3.517158,3.273624,3.4045265,3.629923,3.5299866,3.471328,3.4355712,3.6113102,3.2869165,3.2339072,3.3170626,3.4395306,2.5809977,2.6163545,2.6344817,2.7043505,2.1916292,2.1347744,2.3733218,2.3882532,1.7528013,1.8362982,2.0100343,1.9326588,1.417202,1.6336946,1.8369311,1.7149659
